gif_name	question	a1	a2	a3	a4	a5	answer	vid_id	key
tumblr_n9wt1kbC1Y1s3att3o1_400	What does the cat do 5 times ?	jump	move paws	sway	shift eyes	bounce	1	ACTION6355	25882
tumblr_nkrd2pmxo41u5kmn5o1_400	What does the man do 4 times ?	swing forks	hit another man	pat box	sway	blow kiss	1	ACTION6356	25891
tumblr_npoenhrhLx1uxj7odo1_400	What does the man do 7 times ?	point right side	spin fork	bounce baby in arms	shake man	slip	1	ACTION6357	25892
tumblr_nd17hhhVWD1tldx6jo1_400	What does the man do 4 times ?	scream	slap guitar	nod head and points fingers	blink	jump skateboard	3	ACTION6358	25893
tumblr_novr0sczjC1urniqgo1_400	What does the person do 4 times ?	jump wave	paw woman's face	sway shoulders	turn eyes	crawl	4	ACTION6359	25895
tumblr_norjxxuQdD1tqwtb6o1_400	What does the woman do 2 times ?	move eyes	roll downward	bite person's hand	turn head side to side	scratch cage	4	ACTION6360	25896
tumblr_nepo3nRvHW1twoe5do1_400	What does the dog do 4 times ?	pull with hand	lift eyebrows slightly	step	bump hips	climb fence	4	ACTION6361	25903
tumblr_np0r84Zquy1u0uf77o1_250	What does the mascot do 4 times ?	touch an object	make v sign with hand	rub belly	brush a cat	blow smoke rings	2	ACTION6362	25911
tumblr_norgolqnHI1uwruf6o1_250	What does the person do 2 times ?	jump skateboard	shake bum	nod head and points fingers	blink	bounce basketball	3	ACTION6363	25921
tumblr_npszdte7gG1up6w4ao1_250	What does the man do 3 times ?	shake head side to side	jump	turn valve	clap	flap wings	0	ACTION6364	25922
tumblr_nj4mhzDiiP1u15zx4o1_250	What does the girl do 2 times ?	bump hips	sweep hair	tumble	point with thumb	nod head slightly	2	ACTION6365	25933
tumblr_ngt2jtRGJq1rx3y5ho1_250	What does the woman in red do 4 times ?	flip bird	roll ball	step	clomp hand	shift face	2	ACTION6366	25938
tumblr_nnvi2crFX91slwccfo1_250	What does the foremost motorcycle driver do 3 times ?	bump head	change the shape of fingers	drop object	rev motorcycle	move eyes	3	ACTION6367	25939
tumblr_nghym4skRF1qhb2cco1_250	What does the man do 7 times ?	explode	shake man	point right side	kick raccoon	bounce	4	ACTION6368	25953
tumblr_nk3ouh55wr1tvbcxzo1_250	What does the woman do 2 times ?	pat a woman's back	bounce	wave arm	step	turn around	2	ACTION6369	25954
tumblr_nd0djb2H9R1rgpv06o1_250	What does the woman do 4 times ?	wave hands	turn around	point up	swing hoola hoop	flip	0	ACTION6370	25955
tumblr_nh77ulVeZW1u4v3ypo1_250	What does the kitten do 2 times ?	hit hands with woman	pull collar	sip something in a cub	fall down	move paw	3	ACTION6371	25957
tumblr_nptzf8zUy71uy7ljgo1_400	What does the man do 2 times ?	clap with two feet	jump	flip through the air	shake tie	scratch a dog	3	ACTION6372	25966
tumblr_nddbu8Ri7b1rzetmlo1_400	What does the man on right do 3 times ?	blink	nod head	strum guitar	pose	kiss a woman	1	ACTION6373	25978
tumblr_npa978lYjX1s5e5bko1_400	What does the cat do 7 times ?	shake left hand	lick baby	kiss another person on left	turn head side to side	rub the other person's chin	1	ACTION6374	25985
tumblr_noi9br2SFV1una42vo1_250	What does the woman do 5 times ?	slip	bounce body	point up	kick	explode	1	ACTION6375	25987
tumblr_no1ff2TDDR1use8l1o1_250	What does the cat do 4 times ?	wag finger	turn around	lick body	shake left hand	chew the cookie	2	ACTION6376	25988
tumblr_npo59uDf6B1tpg4boo1_250	What does the dog do 6 times ?	point down	bump head	wag head	sweep	paw toward a cat	4	ACTION6377	25991
tumblr_nqcohznVnE1u3dwpfo1_400	What does the man do 9 times ?	gallop	stumble	spray	wipe the stand	brush cat	4	ACTION6378	25993
tumblr_npu93tpsSj1qeu1v6o1_400	What does the person do 2 times ?	turn turns head	stand up	deal cards	pulsate shirt	swipe at a cat with paw	2	ACTION6379	25996
tumblr_newfuucEMR1slj978o1_400	What does the cat do 2 times ?	shake upper body	pose body	turn body around	twirl rifle	nod	4	ACTION6380	25998
tumblr_nbjtsuuTMW1s43mito1_400	What does the man do 2 times ?	move broom	blink eyes	nod	widen eyes	wag tail	1	ACTION6381	26001
tumblr_ng9xg45Fmp1sppmdxo1_400	What does the man do 4 times ?	step stairs	roll	flip	shift weight	murmur	0	ACTION6382	26003
tumblr_nfreb75z6U1qfin5no1_500	What does the woman on left do 5 times ?	run	nod	pat hair	drift	step	2	ACTION6383	26007
tumblr_nfxl72ZBkm1slj978o1_400	What does the man do 3 times ?	step or feet	nod head and points fingers	move tongue	run at camera	sway	4	ACTION6384	26013
tumblr_np1b96JdGe1rvekoro1_500	What does the man on center do 2 times ?	kick leg	pass lines	take step	whip hair	sway	0	ACTION6385	26014
tumblr_nqgsle2gt71u2ok96o1_400	What does the woman on center do 5 times ?	throw kisses	point hand	bounce up and down	shake cat	kick dragon	2	ACTION6386	26015
tumblr_nb7hggRDDi1qdlihgo1_400	What does the man do 6 times ?	turn body 360 degree	drag rear legs	slip	drop hand	bounce	3	ACTION6387	26019
tumblr_nftbghqECS1rsj5iso1_400	What does the man do 7 times ?	move foot	nod	run	flap hand	strum guitar	4	ACTION6388	26022
tumblr_n9br9whoKK1qd52hjo1_250	What does the man in red and black do 2 times ?	lift hand	swing tennis racket	stretch out arms	step	scoop ice cream	0	ACTION6389	26025
tumblr_nelvgkDbd81qmnn0yo1_400	What does the woman do 4 times ?	scratch	brush hair with hand	strum guitar	jab controller	bob head	1	ACTION6390	26028
tumblr_nqzm28JXgg1r7owcpo1_400	What does the man do 9 times ?	turn around	move foot	boop mother panda's nose	nod	strum guitar	4	ACTION6391	26030
tumblr_nf829rEjRk1tj2kheo1_400	What does the man do 2 times ?	move hair	turn around	swing tennis racket	moonwalk	wave hand	4	ACTION6392	26031
tumblr_na0w8jGtPU1s3att3o1_400	What does the man do 3 times ?	shake head	wiggle fingers	rub a dog	jump	heartbeat hands	0	ACTION6393	26034
tumblr_nhr4t8d8Ln1u77sxto1_400	What does the man do 4 times ?	swing guitar in circle	shake man	fidget fingers	worm	run	0	ACTION6394	26036
tumblr_nr9fjdN05K1rndm3wo1_400	What does the woman do 7 times ?	shake head	jump	clap	move fingers	puff cigarette	0	ACTION6395	26045
tumblr_narris6Ozm1tsrx4oo1_400	What does the man do 3 times ?	rock back and forth	wave candy	move sunglasses	hit	strum guitar	0	ACTION6396	26050
tumblr_n9140axZ7y1sfkj4so1_400	What does the man do 3 times ?	nod	dribble basketball	run left	step	slap other man's hands	1	ACTION6397	26056
tumblr_ngqi9pDqn61r3fht5o1_250	What does the animal do 4 times ?	shake head	jump	sway	clap	pat a bed	0	ACTION6398	26058
tumblr_np2t854zdj1subslpo1_400	What does the man do 6 times ?	strum guitar	rub another man with body	chew apple	blow kiss	toss sand	2	ACTION6399	26059
tumblr_noijqjxnof1rv70c5o1_250	What does the man do 4 times ?	run	turn around	twirl	nod	bobble head	4	ACTION6400	26064
tumblr_nqs999ZRhM1uxceulo1_400	What does the man on left do 2 times ?	wag head	nod head and points fingers	run at camera	step or feet	sway	4	ACTION6401	26066
tumblr_nd4mkdOSCH1sht3fmo1_250	What does the man do 3 times ?	step	swing a bright sword	take step	roll body	shake arms back and forth	3	ACTION6402	26070
tumblr_nig3dkbqzw1sk0i2mo1_250	What does the woman in ring do 3 times ?	move tail	roll ball	step	pat fave	jiggle bread	2	ACTION6403	26071
tumblr_ncos6f9Fz61sht3fmo1_250	What does the man do 4 times ?	shift face	roll ball	flip bird	step	pounce on kitten	3	ACTION6404	26079
tumblr_nqfpfu7fl31sht3fmo1_250	What does the woman do 2 times ?	blink eyes	sway	nod	grimace	jump	0	ACTION6405	26080
tumblr_nqx1j9ev6e1qzvub2o1_250	What does the bird do 3 times ?	nod	shuffle feet	take step	run on stage	move tongue	1	ACTION6406	26081
tumblr_nbx8q1KV9e1rwdmvno1_500	What does the man do 2 times ?	pull shoulders back	sway side to side	touch man on left	smurk	smell flowers	4	ACTION6407	26083
tumblr_nc33ff7Nhn1sht3fmo1_250	What does the man do 7 times ?	twirl	spim body	nod	run	bob head	4	ACTION6408	26088
tumblr_mruuujBWlS1qmvy8zo1_500	What does the bird do 6 times ?	nod	flap wings	run	hump	move finger	1	ACTION6409	26091
tumblr_mnzdw7875g1qiz3j8o1_500	What does the woman do 3 times ?	tip head	slide	step	point up	screw a screw	0	ACTION6410	26096
tumblr_mgkzy93aKg1qzsyuto1_500	What does the boy on left do 2 times ?	shave	smooth hair	round curve	scratch owners back	look left	1	ACTION6411	26097
tumblr_np0xc4IJNI1uqboh1o1_250	What does the woman do 6 times ?	thrust fist	twirl body	strum guitar	nod	run	1	ACTION6412	26106
tumblr_neu5dfwLui1rk8k5ao1_400	What does the dictator do 10 or more than 10 times ?	sway	rotate hands	fold arns	get up	turn dreading wheel	1	ACTION6413	26113
tumblr_noopemIyAH1t95h1uo1_250	What does the dog do 10 or more than 10 times ?	wag tail	point up	nod	run	strum guitar	0	ACTION6414	26115
tumblr_nac76jmcF71slwrsuo1_400	What does the dog do 2 times ?	paw ball	put something to mouth	point down	strut	strum guitar	0	ACTION6415	26117
tumblr_nq7nwpVi311unvvzbo1_400	What does the cat do 10 or more than 10 times ?	turn steering wheel	wink eye	nudge dog	murmur	strum guitar	3	ACTION6416	26126
tumblr_na5uexXl911r826q0o1_400	What does the man on right do 5 times ?	blow kiss	hit tambourine	pull himself up	swing hips side to side	throw himself back	1	ACTION6417	26137
tumblr_mrhd18674s1sw55kto1_400	What does the man do 2 times ?	jump skateboard ramp	step on to steps	tap something	bend back head	adjust cat hat	2	ACTION6418	26143
tumblr_nav2gypz0n1t38ngdo1_250	What does the man do 10 or more than 10 times ?	twirl hand	tilt head	move body	strum guitar	sway	0	ACTION6419	26147
tumblr_nave37W08o1sz068fo1_250	What does the cat do 9 times ?	shuffle skateboards	stretch tongue	pat other man's back	swim up and down	wiggle tail	1	ACTION6420	26157
tumblr_nr98g2ZjjE1u7ky2oo1_250	What does the performing girl do 4 times ?	step	turn leg	throw objects from class	strum guitar	sip something in a cub	1	ACTION6421	26165
tumblr_n9mf0lr7G81tdmffyo1_400	What does the lady with a blue scarf do 3 times ?	jump	slide table	claw white cat	swing other mans arm	wiggle eyes	0	ACTION6422	26166
tumblr_ngzigdFLug1u5dsd1o1_500	What does the man outside in black do 3 times ?	stroke a guitar	change frame	swing cross	move foot	sway	0	ACTION6423	26167
tumblr_nofmdbej7V1uqx8bqo1_400	What do the man in the blue jeans do 7 times ?	jump box	flap ears	roll belly	step	look to the opponent	3	ACTION6424	26174
tumblr_nonlfxVmj61shgs1po1_400	What does the horse in front do 10 or more than 10 times ?	juggle box	paw man's face	move eyes	sway side to side	trot	4	ACTION6425	26179
tumblr_npn2beh9xb1tatohao1_400	What does the cat do 2 times ?	move hips	twirl	backflips	run	raise paw	4	ACTION6426	26184
tumblr_ngi9a7ePP51si6uplo1_500	What does the girl do 10 or more than 10 times ?	drive by	bob head	look	run floor	paw	3	ACTION6427	26190
tumblr_npc4euzWFt1ru7rj1o1_400	What do the legs do 5 times ?	walk steps	flap hair	step in a circular motion	stretch hind leg	jump	0	ACTION6428	26191
tumblr_n989gcEjjq1slj978o1_400	What does the man do 3 times ?	thrust torso	jump	spin with holding one leg on ground	kick a box	look to the side	1	ACTION6429	26193
tumblr_nitjhpOkdr1u91drzo1_250	What does the man in yellow do 2 times ?	pull up	wiggle hips	point finger at man in black	tremble	jut neck	2	ACTION6430	26196
tumblr_noi770AmYB1ro0x7uo1_250	What does the man do 3 times ?	throw colored powder	turn head	touch a man	spin on wave	raise one of two cups	1	ACTION6431	26203
tumblr_njmrdyvfHz1un3yp7o1_500	What does the man do 2 times ?	bob head	shake phone	blow hair	chew	toss hair	3	ACTION6432	26205
tumblr_nch8qgJYDP1qfu4p1o1_400	What does the girl do 4 times ?	wiggle hips	turn lid	flail arms	bangs head	throw a gun slightly	1	ACTION6433	26212
tumblr_nksyntf2sj1sg888so1_400	What does the woman wearing red scarf do 3 times ?	drop money	sway	make an o-shape with mouth	step	point ground	2	ACTION6434	26213
tumblr_nr7i2aFXnC1tbxbgko1_400	What does the man do 2 times ?	wave hello	move hair	strum guitar	rock backward	hit bouquet	3	ACTION6435	26219
tumblr_ng15kv7GO01rpdptuo1_r1_400	What does the man do 2 times ?	strum guitar	flip bird	pull back fists	bob head	slap cat's paw	2	ACTION6436	26221
tumblr_nqll500Jyb1uzspavo1_500	What does the man do 2 times ?	move sword	nod head and points fingers	strum guitar	blink	jump skateboard	3	ACTION6437	26227
tumblr_noyk6s4whO1sd7qr3o1_250	What does the man behind green sign do 8 times ?	pat another man's back	swing tennis racket	roll on the ground	spin	wave hand	4	ACTION6438	26228
tumblr_npgbwcx22a1rir0h2o1_250	What does the dog do 8 times ?	shake both hand	raise two fingers on each hand	scrap bed	pound floor	strum guitar	3	ACTION6439	26229
tumblr_nd3ji0BjS81tjdvfuo1_400	What does the person do 10 or more than 10 times ?	scratch cat's chin	shake rear	move sword	rub record	paint	0	ACTION6440	26230
tumblr_nhns23J6o61sgysl3o1_250	What does the man do 2 times ?	take step	wag tail	pull clothes	paddle	look to the side	4	ACTION6441	26234
tumblr_mme6uyzUjZ1qgstr7o1_500	What does the woman do 2 times ?	jerk on music	shake fist in the air	kiss partner	glance	tilt head	2	ACTION6442	26237
tumblr_nfttm9jSj01tdmffyo1_400	What does the turkey do 5 times ?	sway body	nod head downward	run in a circle	flap	gallop the ground	3	ACTION6443	26239
tumblr_npsdccsUht1subslpo1_400	What does the man do 3 times ?	roll	peck something	apply nail polish	bend backwards	brush hair	4	ACTION6444	26241
tumblr_nq1tbs4ZPI1r2lnvfo1_400	What does the woman do 5 times ?	run	turn around	filp	nod	strum guitar	4	ACTION6445	26242
tumblr_notm3uXBP41uwqy90o1_400	What does the person do 4 times ?	bounce hand	point down	kick	roll on the ground	jump across puddle	0	ACTION6446	26243
tumblr_nohi9nqzdg1sbiylbo1_400	What does the man do 5 times ?	wrap jacket around other man	fold finger	point down	flip	turn around	1	ACTION6447	26250
tumblr_nh978jxO7u1rdz66ao1_400	What does the girl do 3 times ?	lift hand	stretch out arms	move hair	wiggle tail	jump	0	ACTION6448	26251
tumblr_mjj624oB1H1qdauj7o1_400	What does the person do 2 times ?	sway	lick lips	rub a boy on left's head	shake cape around	turn around	1	ACTION6449	26263
tumblr_noh0z3vG7v1qmnmhao1_400	What does the right man on background do 4 times ?	bounce on bumpy road	shake upper body	smile	hump a girls leg	clap	4	ACTION6450	26264
tumblr_m8cnabARPB1r34jtoo1_250	What does the man do 2 times ?	grab woman	wrap string	sway stretched arm	whip head	pat the air	0	ACTION6451	26265
tumblr_nqrkxe81pf1s71nvbo1_400	What does the cat do 7 times ?	spin with holding one leg on ground	jump	kick a box	look to the side	swing other mans arm	1	ACTION6452	26266
tumblr_npmihp2x0M1ruu6l9o1_250	What does the man do 2 times ?	chew on food	blow hand	bob head	toss pebble	slap puck	0	ACTION6453	26268
tumblr_ndwyl5YGSW1slt40go1_250	What does the man do 2 times ?	pull sword in stone	sway side to side	squint eye	look	send kisses	4	ACTION6454	26269
tumblr_np337z8sUF1upx9wro1_400	What does the man do 4 times ?	blow kiss	turn around	ack like throwing something	hit head	bounce	3	ACTION6455	26276
tumblr_nokrk57Bia1u7t71ro1_500	What does the man do 4 times ?	hit balls	blow dog fur	juggle	bounce up and down chair	move eyes	0	ACTION6456	26282
tumblr_not8sk1fUA1t95h1uo1_400	What does the cat do 5 times ?	sway	flip tail	roll	shake something	gallop	1	ACTION6457	26287
tumblr_npp4j1DVW21uwqoewo1_400	What does the woman do 3 times ?	sway	flip	roll	touch stomach	tap	3	ACTION6458	26293
tumblr_np1clsO2Ng1rvekoro1_400	What does the man do 2 times ?	nibble other puppy	flip a stick	slip on pole	strum guitar	spin	4	ACTION6459	26295
tumblr_nbt3i1QDG81tlw4ebo1_400	What does the woman do 10 or more than 10 times ?	flip bird	roll belly	step	jump couch	shift face	2	ACTION6460	26296
tumblr_naa8jxrLYd1tivsquo1_400	What does the baby do 4 times ?	take step	bob body	strum guitar	move curtain	turn around	1	ACTION6461	26299
tumblr_nr56e635Ro1uqb3lao1_400	What does the man do 2 times ?	sip soda	strum guitar	sway	flap arm	spray painting lines	4	ACTION6462	26304
tumblr_n9pvtz8kAC1tfmz3ko1_400	What does the man do 2 times ?	shrug shoulders	wag tail	maneuver cat	nod	run	0	ACTION6463	26306
tumblr_nq3w9veLoU1r9zhm4o1_400	What does the man do 5 times ?	move shoulders	bob head	slip on pole	spin	bounce bread	3	ACTION6464	26307
tumblr_nak2og21Eu1sjpdn9o1_500	What does the man do 5 times ?	strum guitar	turn around	move foot	pat back	nod	0	ACTION6465	26320
tumblr_nqm9zmH3iC1qfcmb1o1_500	What does the woman do 3 times ?	move skis	nod head and points fingers	shake bum	jump skateboard	blink	4	ACTION6466	26321
tumblr_npqf38oYDk1us3dveo1_500	What does the woman do 2 times ?	wiggle fingers	step	stride	throw colored powder	turn head	4	ACTION6467	26327
tumblr_ne2ecomrOS1u2oapqo1_500	What does the right man do 2 times ?	jump curb	strum guitar	shrug shoulder	high five	cut	3	ACTION6468	26335
tumblr_nod0w5xwFm1te94myo1_400	What does the cat do 2 times ?	sway side to side	spin phone	kick a box	look to the side	jump	4	ACTION6469	26341
tumblr_npfcfptpJX1u0chl3o1_400	What does the kitten do 2 times ?	sniff face of owner	stomp legs	paw	nod heads	run on stage	2	ACTION6470	26346
tumblr_ndjllh3Aop1rs9b0jo1_500	What does the tall man do 4 times ?	strike other man's arm	fire	turn around	sway	slap keyboard	0	ACTION6471	26347
tumblr_nl9j98eI2h1u7kh5wo1_250	What does the baby do 2 times ?	tilt head	pose	turn valve	shadow peace sign	looks to the side	4	ACTION6472	26350
tumblr_npi0rasFcc1uvd2s9o1_400	What does the man do 8 times ?	run in a circle	shift eyes	bounce	move head	step	3	ACTION6473	26355
tumblr_npl2mzcOgY1rnfni9o1_400	What does the woman do 3 times ?	jump	spin	take step	shake head	clap	3	ACTION6474	26359
tumblr_nq8pko3aZ41uym2rjo1_400	What does the monkey do 10 or more than 10 times ?	jump around	pedal bicycle	peck something	drum	blink	1	ACTION6475	26362
tumblr_nqgj246Imb1souwjko1_400	What does the man do 6 times ?	blink	take step	pat man	move paw	crawl on floor	4	ACTION6476	26369
tumblr_nr94f5Coov1uadczao1_500	What does the man do 2 times ?	bob head	shake head	twist	move fingers	jump	1	ACTION6477	26371
tumblr_nef3m53Ukw1r8zm0oo1_500	What does the monkey do 3 times ?	move eyes	thrust head	strum guitar	pedal	blink both eyes	3	ACTION6478	26375
tumblr_ngu9stSDiM1u4v3ypo1_400	What does the cat do 3 times ?	somersault	gyrate bottom	put palms up	wag tail	tease someone's hair	3	ACTION6479	26378
tumblr_nnw8u9hNdc1qfgbtao1_250	What does the man do 2 times ?	clap	jump	shake arms	turn dreading wheel	touch an object	2	ACTION6480	26379
tumblr_n3engyq2hu1sm8p33o1_250	What does the woman do 4 times ?	spin	blow pipe smoke	turn dreading wheel	shake shoulders	move paw	3	ACTION6481	26381
tumblr_ndr9dyUwwa1u1ijg8o1_400	What does the seagull do 10 or more than 10 times ?	lick cheek of left cat	blow hand	shake left fist	toss pebble	chew something	4	ACTION6482	26386
tumblr_njvoy36tyS1u2vubao1_400	What does the man do 2 times ?	strum guitar	swing on a pole	flip	jump	wave arms	4	ACTION6483	26393
tumblr_niw0pfqVzS1slwpo8o1_250	What does the cat do 2 times ?	turn head	throw a ball	touch a man	spin	point with thumb	0	ACTION6484	26394
tumblr_nri1qwP9tK1ua3jdto1_250	What does the man do 4 times ?	swing hoola hoop	flail arm	wave hands	spill	flip	2	ACTION6485	26401
tumblr_n8pe6rRBOE1tagn6ao1_250	What does the man do 8 times ?	clap with legs	jump	wink	move body	shake hand	4	ACTION6486	26409
tumblr_njrztzDCvM1tgetb4o1_250	What does the man do 3 times ?	flip hair with hands	back up legs	flop	move eyes	jump stage	2	ACTION6487	26410
tumblr_njvaleRDnv1tul4jlo1_250	What does the man do 4 times ?	flip	roll	step feet	shift eyes	wink	2	ACTION6488	26411
tumblr_nq4it3kYXF1u1q122o1_250	What does the man do 4 times ?	run	nod	wiggle butt	nudge arms	point down	3	ACTION6489	26413
tumblr_nfyiu2Tsm51s6zpepo1_250	What does the man do 6 times ?	hit kangaroo	take steps	pat other man's back	blow kiss	swing hips side to side	0	ACTION6490	26418
tumblr_ndhvv7uAgL1t7j74xo1_250	What does the cat do 3 times ?	bobble head	crawl on the street	twitch	lean to the left	chin up bar	2	ACTION6491	26419
tumblr_ngbugwnSI51slj978o1_250	What does the cat do 10 or more than 10 times ?	beat a drum	blow dog fur	hit hand	roll	drift	2	ACTION6492	26434
tumblr_npl473lwHk1uxcqtdo1_250	What does the man do 7 times ?	shake toy	jump back	paw	clap with legs	touch a women's face	0	ACTION6493	26435
tumblr_npk3exfx111tpg4boo1_400	What do the man on all fours do 5 times ?	buck with someone on back	bob head	jump	flip	blink light	0	ACTION6494	26439
tumblr_njn06drBqu1un6yddo1_400	What does the money do 4 times ?	circle crate	shake a towel	slip on pole	spin	twist cap	3	ACTION6495	26441
tumblr_nqq9mf9smX1r60tono1_400	What does the man on the left side do 7 times ?	strum guitar	look to the side	drive by	run	jump door	3	ACTION6496	26442
tumblr_mofnwknebR1rr2h0to1_400	What does the man do 2 times ?	kick raccoon	shake man	point hand	bounce	turn table	3	ACTION6497	26444
tumblr_noyhl7gg1M1tkkgpso1_250	What does the man do 5 times ?	scrunch fingers	wag hand	pull dress	roll	step on ground	4	ACTION6498	26448
tumblr_nd9x50b1Zr1u103uqo1_400	What does the man on left do 4 times ?	jump	rub a duck	shake body	sway	wrinkle friend face	2	ACTION6499	26459
tumblr_nnzxtuCCJE1tkyyb3o1_400	What does the rabbit do 2 times ?	bounce legs	shake head back and forth	point with thumb	kick the ball	explode	0	ACTION6500	26460
tumblr_nfrvu0Ir1x1qcz74to1_400	What does the people do 5 times ?	flail arms	slap someone	hug other people	shoulder shrug	bend body	3	ACTION6501	26461
tumblr_nax9spff0s1r1kqlco1_400	What does the woman do 5 times ?	point down	blow up bag	bounce arms	kick	explode	2	ACTION6502	26462
tumblr_mzz2vi05CF1ss1wywo1_400	What does the man do 3 times ?	move body	step	shift eyes	tilt head	bounce	0	ACTION6503	26463
tumblr_nemq6yL3pC1r3rloeo1_500	What does the artist do 3 times ?	brush eyebrow	touch eyebrow	apply eyeshadow	paint on a canvas	back flip	3	ACTION6504	26464
tumblr_ndlvm3xLf71sfs5sko1_250	What does the man do 8 times ?	jump over vaults	backflip	shimmy	wave arm	turn around	3	ACTION6505	26467
tumblr_n985ujjwOk1s71nvbo1_400	What do the bombs do 10 or more than 10 times ?	dab ear	hit hands with woman	show an action with hand	run in place	fall	4	ACTION6506	26470
tumblr_npxbd7WhZh1s8hacoo1_400	What does the bird do 3 times ?	swat the air	exhale smoke	nod head downward	run forward	peck	4	ACTION6507	26472
tumblr_n9iz5q6rOl1subslpo1_400	What does the man do 2 times ?	pose	nod head	shake fist in the air	flap wings	kiss a woman	1	ACTION6508	26473
tumblr_ncnhzthOW01ssgyoro1_400	What does the dinosaur mascot do 10 or more than 10 times ?	bounce a ball	shake head back and forth	spin legs	roll	slip	2	ACTION6509	26475
tumblr_nk2brkr4dr1tgrhemo1_400	What does the man do 2 times ?	shake fence	nod	pull up	blink eyes	move hip	3	ACTION6510	26476
tumblr_nqcg39Ic0q1u5lqbno1_500	What does the woman do 7 times ?	stomp	turn around	take steps	pat box	apply lipstick to a man	4	ACTION6511	26479
tumblr_n8wvf0PAoC1tbg5yoo1_400	What do the man with a blue pants do 2 times ?	wag finger	load bullets in gun	spin	drag legs	slap cat's paw	3	ACTION6512	26483
tumblr_n8uph0VTMn1rq31wzo1_400	What does the man do 2 times ?	dribble basketball	jump ramps	spin on head	kick	look	1	ACTION6513	26484
tumblr_ngpoi9rWUn1s3att3o1_400	What does the person on bottom left do 4 times ?	flick eyes	jump	ride skateboard	turn around	pat someone's back	2	ACTION6514	26485
tumblr_nqjx3wHf1Q1r2lnvfo1_400	What does the woman do 2 times ?	flip an object on left hand	bounce	drag legs	shake cat	sliding on the treadmill	0	ACTION6515	26486
tumblr_nbvx28RKbb1tkslcoo1_400	What does the woman do 2 times ?	paddle	sway	move fingers	pat a bed	bob head	4	ACTION6516	26489
tumblr_nh32gyCsqn1u1dhmso1_400	What does the woman do 9 times ?	jump couch	guesture hands	roll belly	step	paw dog's tongue	3	ACTION6517	26490
tumblr_njaucizHl51rpqr23o1_250	What does the man on right do 7 times ?	point with thumb	peddle bike	shake arms back and forth	bite person's hand	punch	4	ACTION6518	26494
tumblr_nn2a7dZtxS1qzn0kbo1_500	What does the man do 2 times ?	spin	shake head	jump	clap	strum guitar	1	ACTION6519	26496
tumblr_nhrkkal3l81s71nvbo1_400	What does the man do 4 times ?	kick	flip hand	point hand	bounce backwards in a gym	shake hand	3	ACTION6520	26503
tumblr_n9dtb9xXh31t7j74xo1_400	What does the cat do 4 times ?	throw rose	turn around on floor	pat man	pull violin bow	wag hand	1	ACTION6521	26504
tumblr_nga8g2sqtN1re60dio1_250	What does the person on right do 10 or more than 10 times ?	run	turn around	nod	strum guitar	move foot	3	ACTION6522	26505
tumblr_no317qDz6m1qb70aro1_400	What does the man do 5 times ?	jump building ledge	spin	kick	throw a gun slightly	take step	0	ACTION6523	26511
tumblr_nqn2vhKs161tz09dso1_400	What does the man do 3 times ?	step	reach snakes	puff lips	hit	run	1	ACTION6524	26512
tumblr_nnkpqhzeae1tkkgpso1_400	What does the person do 4 times ?	put head down	swipe glass	do hula dance with waving arms	run	move foot	2	ACTION6525	26520
tumblr_nbm0wcsaIm1r8zm0oo1_500	What do the women do 7 times ?	move tail	step	turn body around	roll belly	put fries in mouth	1	ACTION6526	26525
tumblr_nrl90eV1Vf1ssgyoro1_250	What does the shark do 8 times ?	slide	wag finger	shake own hand	run	swing tail fin	4	ACTION6527	26527
tumblr_nkg0u6kxD71qedb29o1_400	What does the man do 4 times ?	strum guitar	move paw	point with thumb	take steps	step on field	3	ACTION6528	26534
tumblr_nahida5goL1t3hbhyo1_500	What does the woman do 3 times ?	shake head	spin	bob head	jump	clap	0	ACTION6529	26536
tumblr_np4saxkAuR1tdhimpo1_500	What does the woman do 2 times ?	look to the opponent	nod head	pose	strut	shake fist in the air	1	ACTION6530	26537
tumblr_ncppfpwv0q1t7an45o1_250	What does the man do 2 times ?	move body	strum guitar	raise right arm	bob head	sway	2	ACTION6531	26540
tumblr_nq1icjpVR91t0ojyvo1_400	What does the man in front do 5 times ?	strum guitar	swing tennis racket	flip	slap the floor	wave hand	4	ACTION6532	26542
tumblr_no9t9j1OOA1usf060o1_250	What does the dog on left do 10 or more than 10 times ?	tiptoe	shake arms back and forth	bounce head	point fingers in air	kick the ball	2	ACTION6533	26545
tumblr_noex35I4At1retdqzo1_250	What does the man do 3 times ?	tap guitar	roll	touch palms together	shake cat	bark	2	ACTION6534	26554
tumblr_nipp86zcbZ1r8u1z3o1_400	What does the woman do 2 times ?	kick leg to side	spin phone	jump	look to the side	wiggle shoulders	2	ACTION6535	26555
tumblr_ng7veio2xj1siy4hto1_400	What does the boy do 2 times ?	run	thrust pelvis	nod	pull rug	swipe at the other person	4	ACTION6536	26556
tumblr_na6597tEaQ1rbj206o1_400	What does the man do 2 times ?	roll	sway	inhale	jump	step floor	4	ACTION6537	26560
tumblr_nb2l5l6brZ1tkpzw0o1_400	What does the man do 6 times ?	jab controller	pull collar	step	roll belly	twirl flame	2	ACTION6538	26561
tumblr_nbypr6Jj101t7j74xo1_400	What does the woman do 7 times ?	flip	thrust pelvic	swing on a pole	wave arms	slap someone	3	ACTION6539	26563
