gif_name	question	answer	vid_id	key
tumblr_nk1xk81o7r1suivgao1_100	How many times does the man in middle stretch arms ?	6	COUNT26	107
tumblr_na2duflUs81qjy8vdo1_250	How many times does the cup twist ?	2	COUNT27	111
tumblr_nktzi2r1pm1s6zpepo1_250	How many times does the woman shake hips ?	5	COUNT28	113
tumblr_npnqz3jhuK1uy0r68o1_400	How many times does the man dance with his arm ?	2	COUNT29	120
tumblr_nabblbPyrT1sm80wvo1_250	How many times does the man shake his hips ?	3	COUNT30	121
tumblr_n8qskodLIl1qcty0ro1_250	How many times does the man rub jacket ?	2	COUNT31	127
tumblr_npas92p2kc1tlavz3o1_250	How many times does the man shake bottom ?	8	COUNT32	128
tumblr_nkotv8wlIM1spcxkpo1_250	How many times does the man pump fist ?	4	COUNT33	129
tumblr_nkz6pdyCaj1u3kb8vo1_400	How many times does the character blink ?	2	COUNT34	131
tumblr_nox6s4xcyS1qlpngeo1_250	How many times does the woman rotate waist ?	3	COUNT35	132
tumblr_n8s3uuQzKT1th8yo9o1_250	How many times does the woman pose ?	3	COUNT36	136
tumblr_n9tafbGrs81tigkp3o1_250	How many times does the young person push hair ?	3	COUNT37	137
tumblr_ndnpu9mtRU1tf56nmo1_250	How many times does the man step ?	3	COUNT38	139
tumblr_npggrt6yGY1qfegl2o1_100	How many times does the man move a ball ?	10	COUNT39	154
tumblr_nh2j9ov5zN1u4v3ypo1_250	How many times does the cat move upward with rod ?	4	COUNT40	155
tumblr_nop4j2lBf91u66hq1o1_250	How many times does the man on the ladder step ?	5	COUNT41	158
tumblr_npsctpSizD1sfbmt2o1_400	How many times does the man jog ?	2	COUNT42	160
tumblr_nqzmlck6ph1tsbbfxo1_250	How many times does the person step ?	3	COUNT43	161
tumblr_n5llvieDbG1r5667oo1_400	How many times does the person move hips ?	3	COUNT44	163
tumblr_nbjzocuRok1sg1bkbo1_250	How many times does the woman step down stair ?	2	COUNT45	166
tumblr_nnzm18sXEV1rdynt3o1_500	How many times does the man step up ?	10	COUNT46	168
tumblr_nhcbcc3hpP1trx0seo1_250	How many times does the man bang drum ?	5	COUNT47	169
tumblr_nkadad5IuT1u8s2kto1_250	How many times do the women walk on ground ?	3	COUNT48	177
tumblr_no3wduG3hH1tv7hiqo1_250	How many times does the woman swing arm ?	3	COUNT49	181
tumblr_na0s3dPpS71tslt3ho1_250	How many times does the woman shuffle her feet ?	7	COUNT50	186
tumblr_nlzw45qR691tatmmpo1_400	How many times does the man nod his head ?	2	COUNT51	194
tumblr_nrjusdx7mI1u4nq4po1_250	How many times does the man thrust his pelvic area ?	6	COUNT52	196
tumblr_nawas0vIQn1t1n1yto1_250	How many times does the dog wag ?	4	COUNT53	199
tumblr_nqejwbHipf1rvbpzlo1_100	How many times does the woman raise hands ?	2	COUNT54	203
tumblr_nkm3c0WWGg1r41ww8o1_250	How many times does the woman shake hips ?	3	COUNT55	204
tumblr_n6u36o2N6k1sh8soeo1_250	How many times does the kid bounce ?	5	COUNT56	205
tumblr_njrew14sOF1sgeuwzo1_250	How many times does the man swing rod ?	3	COUNT57	208
tumblr_n99q0nGNwW1tb8wjmo1_250	How many times does the woman run her legs ?	7	COUNT58	212
tumblr_nk1jy0euIq1r39im9o1_250	How many times does the woman nod her head ?	10	COUNT59	213
tumblr_nc0vafPqIK1sb9hvjo1_250	How many times does the woman take steps ?	4	COUNT60	217
tumblr_nqrjltLSqe1t0ujmxo1_250	How many times does the woman wiggle side to side ?	7	COUNT61	218
tumblr_n9uxav9b1w1ts3h88o1_250	How many times does the man sway side to side ?	4	COUNT62	220
tumblr_ndbkcs1u3g1r6o49fo1_250	How many times does the man move his head ?	4	COUNT63	223
tumblr_nplc902OHu1rms5mko1_100	How many times does the person in center bounce ?	7	COUNT64	227
tumblr_nch6q3R7fb1s186v2o1_250	How many times does the man nod his head ?	3	COUNT65	229
tumblr_ndq2pnhXee1ssdnwpo1_250	How many times does the man shake his body ?	3	COUNT66	231
tumblr_np01q0qlEG1uva9gvo1_250	How many times does the woman swing arm ?	2	COUNT67	238
tumblr_nfj0orE6Ch1tmenbdo1_250	How many times does the woman walk stairs ?	9	COUNT68	239
tumblr_nfhusw69iP1tdjuqvo1_250	How many times does the man shake a banana ?	2	COUNT69	247
tumblr_npasg8M9Ru1uva9gvo1_250	How many times does the cat step ?	6	COUNT70	249
tumblr_ncmftyRpXj1tmvz19o1_250	How many times does the man rub hair ?	2	COUNT71	250
tumblr_ndmh57bR0i1rscnojo1_500	How many times does the man step forward ?	4	COUNT72	256
tumblr_no1hw0gK7B1utsqnbo1_250	How many times does the man step forward ?	2	COUNT73	258
tumblr_njwym1G3dV1s6zpepo1_250	How many times does the man bounce diving board ?	4	COUNT74	262
tumblr_nfu9mlDYuY1u3hrs0o1_400	How many times does the man shake his hips ?	4	COUNT75	265
tumblr_ndrkltorLn1tmenbdo1_250	How many times does the woman step ?	4	COUNT76	270
tumblr_nnzklkaz6C1s7xevco1_250	How many times does the man throw arms into air ?	3	COUNT77	279
tumblr_npat3wq34r1u2bkcbo1_250	How many times does the man raise arms ?	5	COUNT78	282
tumblr_nrkjkmKD9v1ub38c0o1_250	How many times does the man shake head ?	5	COUNT79	284
tumblr_n98iupRJS41s8t6i8o1_250	How many times does the woman hit hand with baton ?	4	COUNT80	285
tumblr_nkoitlC3uF1u8a8nuo1_400	How many times does the woman clap hands ?	6	COUNT81	286
tumblr_mn2m9uCPlI1sqdyoko1_250	How many times does the woman clap hands ?	5	COUNT82	287
tumblr_nfdddhdOuN1te5p35o1_250	How many times does the man rub pillow ?	5	COUNT83	289
tumblr_npvbb8lyGq1rndm3wo1_250	How many times does the dog shake head ?	6	COUNT84	292
tumblr_ncqb5k6sMf1ssp6pho1_400	How many times does the man wave fingers ?	3	COUNT85	295
tumblr_njynrhfOL71u2w55do1_250	How many times does the woman jump ?	3	COUNT86	299
tumblr_njy3m5Rnst1u2k31jo1_400	How many times does the man step ?	3	COUNT87	300
tumblr_nplo7tJNad1s71nvbo1_250	How many times does the woman attack man ?	2	COUNT88	304
tumblr_nakbt6LRF21rfeuf2o1_250	How many times does the man shake butt ?	3	COUNT89	307
tumblr_nqvly7rElE1trdw2po1_400	How many times does the man shake hips ?	3	COUNT90	308
tumblr_nch18l2hu31tdmffyo1_250	How many times does the horse nod its head ?	3	COUNT91	310
tumblr_ngbw0ySxFj1slj978o1_250	How many times does the man jump ?	3	COUNT92	314
tumblr_nqcy30Sisb1rxqsz9o1_100	How many times does the man swing hips ?	10	COUNT93	317
tumblr_njytglV7551u2w55do1_250	How many times does the woman spin head ?	2	COUNT94	324
tumblr_np87646i8F1t95h1uo1_250	How many times does the kitten react to hands ?	3	COUNT95	326
tumblr_nf65f4hvK91tspb27o1_250	How many times does the animal blink its eyes ?	4	COUNT96	327
tumblr_naf98g2rds1sdfppno1_250	How many times does the boy blink eyes ?	3	COUNT97	330
tumblr_nk9ravNQ9x1t9gbgeo1_400	How many times does the blond woman jump ?	3	COUNT98	338
tumblr_nly14t88s51uqlnuqo1_250	How many times does the man shake hips ?	3	COUNT99	340
tumblr_ncr4aaumad1tnw2l6o1_250	How many times does the man nod head ?	2	COUNT100	341
tumblr_nf46vxvBiv1ts3zgzo1_250	How many times does the woman shake hips ?	5	COUNT101	344
tumblr_nofgkuWHVW1sapclfo1_400	How many times does the boy jump from left to right ?	3	COUNT102	353
tumblr_na9or8meRj1s00xj9o1_250	How many times does the woman step ?	4	COUNT103	355
tumblr_nmk8dr3pHJ1so6otoo1_250	How many times does the man rub beard ?	2	COUNT104	357
tumblr_nf12gdBIOv1s44iuio1_250	How many times does the man hit drum ?	2	COUNT105	358
tumblr_nck4lhskuz1ryh0tpo1_250	How many times does the man hop feet ?	5	COUNT106	360
tumblr_na3cj6BADn1sgc9lmo1_250	How many times does the dog circle tree ?	3	COUNT107	367
tumblr_nb7ivtKMVv1r9n9rmo1_250	How many times does the woman scream ?	3	COUNT108	378
tumblr_nqqu0prge01rtvyexo1_400	How many times does the woman shake fingers ?	2	COUNT109	380
tumblr_nqor6rsMNH1tl0di8o1_250	How many times does the man tweak posterior ?	10	COUNT110	383
tumblr_nb9f1thl6p1suglv2o1_250	How many times does the man step dance ?	4	COUNT111	384
tumblr_n8r0psDymk1sfslmbo1_250	How many times does the firework launch ?	2	COUNT112	385
tumblr_n9uai4hwxT1slj978o1_250	How many times does the man hit an object ?	6	COUNT113	386
tumblr_nbov7h7aQ71tbsftyo1_250	How many times does the brown colored dog wag tail ?	10	COUNT114	389
tumblr_nommwv79LM1sjxzjio1_250	How many times does the woman shimmy chest ?	10	COUNT115	391
tumblr_nqqo9kXA4M1uyxg0lo1_250	How many times does the person throw a gun slightly ?	5	COUNT116	392
tumblr_nqyqpgjHM01rsue8go1_250	How many times does the woman shake hip ?	10	COUNT117	393
tumblr_nf2r480Lw71u3fnoso1_400	How many times does the dog stick out tongue ?	5	COUNT118	398
tumblr_ne3h32l51G1tzsy9xo1_400	How many times does the man strum guitar ?	10	COUNT119	399
tumblr_nfrl0s2Qyq1tsrcx9o1_400	How many times does the girl turn around ?	2	COUNT120	404
tumblr_ner7xxoCQi1svoapzo1_400	How many times does the person take steps ?	10	COUNT121	411
tumblr_njpymjMrAG1tcdabeo1_400	How many times does the flag wave ?	5	COUNT122	413
tumblr_nncchlT4cy1s99kqfo1_250	How many times does the train pass pole ?	7	COUNT123	420
tumblr_no7wqm3NxU1sazxqfo1_540	How many times do the drops fall ?	5	COUNT124	422
tumblr_nd7v9mGWXF1r69zqio1_250	How many times does the woman exhale smoke ?	2	COUNT125	423
tumblr_no1mk7jC1j1tte9oio1_250	How many times does the woman flick lighter ?	2	COUNT126	425
tumblr_n8xdawheqQ1qzydejo1_250	How many times does the man on front turn around ?	2	COUNT127	426
tumblr_ndykv00oqB1t51f30o1_250	How many times does the man raise left eyebrow ?	7	COUNT128	427
tumblr_nbcoqfnImM1rc74bgo1_250	How many times does the boy shake body ?	10	COUNT129	432
tumblr_ngdkhyavsN1sqzwmeo1_250	How many times does the girl on left wave hands ?	10	COUNT130	434
tumblr_n8w3fjwphy1qmqlcto1_250	How many times does the man jump on stage ?	5	COUNT131	435
tumblr_njwzevWm1e1unwnm0o1_250	How many times does the man bob head ?	3	COUNT132	436
tumblr_njwjezWgku1qm0hcwo1_250	How many times does the woman on right tap another person ?	6	COUNT133	442
tumblr_npnpv5IBj11qcprf2o1_250	How many times does the man shake head ?	8	COUNT134	443
tumblr_npmzobRTDY1tjdvfuo1_400	How many times does the cat paw paper ?	2	COUNT135	445
tumblr_nfggtzJj401rw4ndto1_400	How many times does the woman throw shoe ?	2	COUNT136	447
tumblr_npda9gNUau1r1syyfo1_250	How many times does the jet ski jump ?	2	COUNT137	453
tumblr_npvfspuntN1seso9ho1_250	How many times does the man in white shirt wave hand ?	2	COUNT138	458
tumblr_npyn4dXk9C1qdj07ao1_250	How many times does the money drop money ?	7	COUNT139	462
tumblr_nq70vv6JMN1uyjnwpo1_250	How many times does the man scratch cat's head ?	10	COUNT140	466
tumblr_noj4pyOv681sese4lo1_250	How many times does the man jump ?	7	COUNT141	467
tumblr_nrbadcfz6Q1uahi84o1_250	How many times does the man kiss woman's cheek ?	4	COUNT142	470
tumblr_nr8r3pQThM1raiksvo1_250	How many times does the woman puff smoke ?	2	COUNT143	485
tumblr_no8v65M0XO1sqn5zco1_250	How many times does the man look sideways ?	3	COUNT144	493
tumblr_nnvc3yNgBD1txe9bpo1_250	How many times does the boy kick ball ?	3	COUNT145	499
tumblr_npa7td25Wa1upasago1_250	How many times does the woman shake her head ?	2	COUNT146	501
tumblr_npgejjZZPX1unb4sno1_250	How many times does the dog wag its tail ?	9	COUNT147	503
tumblr_nrfvfgwhJv1tkylpbo1_250	How many times does the woman toss her hair ?	4	COUNT148	507
tumblr_np3bxcioZb1sh6t2vo1_250	How many times does the girl on far right wind toy ?	6	COUNT149	508
tumblr_np652e9YtM1u5zvmro1_250	How many times does the woman spray paint ?	4	COUNT150	512
tumblr_nrcuw5mGkK1s6shwio1_250	How many times does the man lift his arm ?	4	COUNT151	517
tumblr_no550c1bqM1uoknoco1_250	How many times does the person brush cat's fur ?	7	COUNT152	519
tumblr_np8607D6pL1sd000ro1_250	How many times does the teen take steps ?	3	COUNT153	522
tumblr_now9nnDIYt1sjnj4ho1_250	How many times does the teen step stairs ?	10	COUNT154	523
tumblr_nnnm0gANxC1tpefzeo1_250	How many times does the woman sway head ?	4	COUNT155	524
tumblr_noyz2pZPnm1tv3f0ao1_250	How many times does the guy bounce his body ?	8	COUNT156	525
tumblr_nqjanq2Yf21u01mqjo1_250	How many times does the girl in front nod head ?	5	COUNT157	527
tumblr_nodhsjtSfs1u3mblfo1_250	How many times does the boy in front kick ?	4	COUNT158	528
tumblr_nonr0tGRKk1tuh6cmo1_250	How many times does the African American girl shake her twisted hair ?	3	COUNT159	543
tumblr_np2fz6psLt1u835uxo1_250	How many times does the cat swipe the stick ?	3	COUNT160	544
tumblr_nqmadt8FxZ1qel4ato1_250	How many times does the woman chew ?	4	COUNT161	547
tumblr_nq28gb0j6Q1ta2m5mo1_250	How many times does the woman run finger hair ?	2	COUNT162	549
tumblr_nojycn5Bbk1r0t9zho1_250	How many times does the woman brush hair with fingers ?	2	COUNT163	550
tumblr_nqoxvoBYei1qhoez4o1_250	How many times does the woman shake butt ?	5	COUNT164	553
tumblr_nfadw7Maig1t25z5go1_250	How many times does the cat lick hand ?	2	COUNT165	566
tumblr_npq8b9uHpK1tbpp47o1_250	How many times does the man lift body ?	3	COUNT166	572
tumblr_nc068cLGhS1sm63wlo1_250	How many times does the cat turn head ?	2	COUNT167	575
tumblr_noekb5rsct1tqrng0o1_250	How many times does the woman step down ?	7	COUNT168	580
tumblr_nd6q84pScU1s3akogo1_250	How many times does the boy wave his arms ?	3	COUNT169	584
tumblr_nevsz0P8rz1tk2ngvo1_250	How many times does the baby bounce ?	5	COUNT170	594
tumblr_nkaig8e1P11u9cs5co1_400	How many times does the woman on left pat someone's hands ?	3	COUNT171	595
tumblr_namc1108Zv1tdjuqvo1_250	How many times does the man hit bottle ?	2	COUNT172	596
tumblr_nrd3huzoRL1teewepo1_250	How many times does the woman wave hands ?	2	COUNT173	604
tumblr_nel2faXsI81slj978o1_250	How many times does the cat shake leg ?	5	COUNT174	606
tumblr_m4ndfbW8bf1r0gzaco1_250	How many times does the guy spin his drumsticks ?	2	COUNT175	608
tumblr_nb6md6dSAj1ratlmco1_250	How many times does the monkey grab food ?	2	COUNT176	610
tumblr_npjgiqpFYY1rg2ligo1_250	How many times does the woman in foreground tilt head ?	8	COUNT177	613
tumblr_nq513gHanH1s1e767o1_250	How many times does the man bounce arm ?	4	COUNT178	615
tumblr_njnhnfxkDq1rdp63jo1_250	How many times does the woman blink her eyes ?	2	COUNT179	617
tumblr_nonekaZ7bk1qze0hyo1_250	How many times does the white cat on top paw toward a gray cat below white cat ?	10	COUNT180	618
tumblr_n92kr3Q3Yz1tg4lyko1_250	How many times does the woman kiss ?	4	COUNT181	621
tumblr_nf9nycuedY1tdmffyo1_250	How many times does the dog try to turn handle ?	2	COUNT182	623
tumblr_nam5cbzh441ss9ufto1_250	How many times does the man in white shirt put hand on head ?	2	COUNT183	624
tumblr_npv7urQd281u81888o1_250	How many times does the person pet a cat with hand ?	3	COUNT184	634
tumblr_nrfus3dvXV1sht3fmo1_250	How many times does the man dance legs ?	9	COUNT185	640
tumblr_nb3mu1R5I61tgtinoo1_250	How many times does the person stroke bird ?	10	COUNT186	643
tumblr_nglflbsZJC1sidyqyo1_250	How many times does the person wave something ?	5	COUNT187	644
tumblr_npx6dpBjdw1uu3mfso1_250	How many times does the man inhale smoke ?	2	COUNT188	646
tumblr_nowke8FVo41tyncywo1_250	How many times does the toy wave arm ?	5	COUNT189	650
tumblr_n8veg391yv1qgdpcoo1_250	How many times does the man step backward ?	2	COUNT190	651
tumblr_np45apsTYm1use8l1o1_250	How many times does the person tickle fish ?	10	COUNT191	653
tumblr_noyfgrnFIi1upll81o1_250	How many times does the woman move fingers ?	10	COUNT192	655
tumblr_npndj1vzRu1tpg4boo1_250	How many times does the cat scratch ear ?	4	COUNT193	659
tumblr_nqhx6fiVQD1sejiemo1_250	How many times does the woman kiss a dog ?	2	COUNT194	662
tumblr_nfo7ksVUZ51sk96t7o1_250	How many times does the boy who wear a red shirt swing his arm ?	3	COUNT195	666
tumblr_npt5v4UV6f1tyb6s5o1_500	How many times does the bird peck woman ?	5	COUNT196	671
tumblr_nntf25N0Fx1uu6kufo1_250	How many times does the woman tap feet ?	4	COUNT197	673
tumblr_ncg51tTALI1s71nvbo1_400	How many times does the woman swing her arms ?	3	COUNT198	675
tumblr_ndj7revC3C1sbjwevo1_400	How many times does the fish twitch head ?	2	COUNT199	676
tumblr_ni012ewXvw1tvltf4o1_400	How many times does the woman flip her body ?	2	COUNT200	688
tumblr_nkv54kJY311tzsy9xo1_400	How many times does the man hit drum ?	10	COUNT201	693
tumblr_nqeo8aCMPh1rtcgkko1_400	How many times does the woman blink eyes ?	2	COUNT202	697
tumblr_npzvs6JXL21sw69sho1_400	How many times does the white dog jump off ground ?	6	COUNT203	711
tumblr_ngl1a42vds1s2yagbo1_250	How many times does the woman bounce her body ?	10	COUNT204	713
tumblr_nkhooyKO3i1svtlk8o1_250	How many times does the man in black leather coat pop bubbles ?	5	COUNT205	716
tumblr_nkozodqJRO1uort32o1_250	How many times does the woman stick tongue out ?	2	COUNT206	717
tumblr_no51t4y7FH1upsi9qo1_400	How many times does the woman wave hands down at a dog ?	4	COUNT207	718
tumblr_nb4pqwIPx41tdjuqvo1_400	How many times does the man chew corn ?	3	COUNT208	720
tumblr_nfghbg0PRe1rw4ndto1_250	How many times does the person throw object ?	5	COUNT209	723
tumblr_npbn8aakfM1u05x8ho1_250	How many times does the person move toothbrush ?	7	COUNT210	730
tumblr_ncj9kxfpvm1ti5n8to1_250	How many times does the man blow smoke ?	2	COUNT211	733
tumblr_nl0fy2rTA31tfcg5xo1_250	How many times does the woman on left hug ?	2	COUNT212	737
tumblr_nbvetvodih1qam96io1_250	How many times does the man clap hands ?	2	COUNT213	741
tumblr_ndckegUOu21smh61so1_250	How many times does the dog jump to get object ?	2	COUNT214	743
tumblr_ng4ctfDLEa1slj978o1_250	How many times does the cat paw hit ?	5	COUNT215	745
tumblr_nhewzsOQgy1tdjuqvo1_250	How many times does the dog spin dog bed ?	2	COUNT216	747
tumblr_ngft3bMYOC1qjg94zo1_250	How many times does the man make circle smoke cigarette ?	4	COUNT217	749
tumblr_nezoo48kQx1u0f4gso1_250	How many times does the person spin ?	2	COUNT218	757
tumblr_np6j4clynH1rlepwpo1_250	How many times does the cat move ?	2	COUNT219	759
tumblr_nbrvxizqav1tj3r8so1_250	How many times does the puppy move legs ?	4	COUNT220	761
tumblr_ni6tlz26cI1u8t9uto1_250	How many times does the cat nod her head ?	3	COUNT221	763
tumblr_nco7huA9Kl1tqcnjko1_250	How many times does the woman lift her right hand ?	7	COUNT222	767
tumblr_nd9388mXKm1tjphfzo1_250	How many times does the man puff smoke ?	4	COUNT223	771
tumblr_niotw80mbK1slj978o1_250	How many times does the bird turn handle ?	3	COUNT224	773
tumblr_nam8b01oYB1qc8e7lo1_250	How many times does the child shake body ?	4	COUNT225	775
tumblr_nbz1bjJ00K1qeiz4fo1_250	How many times does the woman wave paw ?	6	COUNT226	777
tumblr_nc4n34tTI71qlpbldo1_250	How many times does the baby scoot ?	5	COUNT227	779
tumblr_n9td29LM8S1sqf3fco1_250	How many times does the animal chew ?	2	COUNT228	780
tumblr_njfb5dn24y1u8r2dpo1_250	How many times does the man spin ?	4	COUNT229	781
tumblr_nbax87vZri1r7ge5jo1_250	How many times does the musician rub his hands together ?	4	COUNT230	782
tumblr_nc09owq3BK1tm9eyuo1_250	How many times does the woman shake her body ?	2	COUNT231	783
tumblr_nimydar2tu1u9203bo1_250	How many times does the woman bounce ?	9	COUNT232	784
tumblr_ndhuk7JYr21tjphfzo1_250	How many times does the man blow smoke rings ?	6	COUNT233	785
tumblr_n9908v7o3G1t4ar34o1_250	How many times does the woman open mouth wide ?	2	COUNT234	786
tumblr_nir153wzjp1tkwbico1_250	How many times does the man shake up and down ?	7	COUNT235	787
tumblr_ng6bl7SB7g1u5nqxro1_250	How many times does the man nod his head ?	6	COUNT236	789
tumblr_nqfn91GiX21qa0byyo1_250	How many times does the woman clap ?	3	COUNT237	792
tumblr_nb6r9vT2Zp1tkhxt8o1_250	How many times does the man clap ?	8	COUNT238	794
tumblr_npbbg8NBr51tgetb4o1_250	How many times does the lioness swipe paw ?	6	COUNT239	797
tumblr_nlj709VmM51uqhpvso1_250	How many times does the baby wave hand ?	2	COUNT240	802
tumblr_nniww7KIxr1tefjtao1_250	How many times does the person drop liquid in the syringe ?	2	COUNT241	803
tumblr_nc1z48rjck1tm9nufo1_250	How many times does the man strum guitar ?	5	COUNT242	807
tumblr_na9o7hUCQC1sv932qo1_250	How many times does the man on left shake his head ?	2	COUNT243	808
tumblr_nbafpuaiUp1tty6xeo1_250	How many times does the woman move lips ?	3	COUNT244	809
tumblr_no5cojtMzA1rma2i5o1_500	How many times does the man scratch head ?	3	COUNT245	811
tumblr_n9cb9xxVgC1qz5055o1_250	How many times does the dog swing toy ?	4	COUNT246	812
tumblr_npzobuOhho1uw3xzgo1_250	How many times does the bird walk with its feet ?	3	COUNT247	814
tumblr_nr2taftOat1u04e8qo1_400	How many times does the man rub back of head ?	4	COUNT248	822
tumblr_nf1buxIARc1slj978o1_250	How many times does the cat paw paper ?	8	COUNT249	824
tumblr_nd960hz1CA1sz7dlso1_250	How many times does the man shake head ?	2	COUNT250	825
tumblr_nq5kstaLQV1uyh266o1_400	How many times does the dog shake head ?	4	COUNT251	828
tumblr_nqhj21OCuw1rdnai7o1_250	How many times does the woman create bubbles ?	10	COUNT252	832
tumblr_nom6ibNb5S1u613vbo1_250	How many times does the person mix brush ?	4	COUNT253	835
tumblr_nl1y1tbWSw1qm9n8co1_250	How many times does the man shake head ?	3	COUNT254	840
tumblr_n8w7wabwvY1twoe5do1_400	How many times does the man shuffle ?	8	COUNT255	841
tumblr_nkuorfVvC71tlkrv7o1_250	How many times does the woman slap her leg ?	4	COUNT256	842
tumblr_n8w7w2m6Xs1twoe5do1_400	How many times does the man shake arms ?	6	COUNT257	847
tumblr_ng9oftdtL41slj978o1_250	How many times does the cat pat box ?	7	COUNT258	848
tumblr_nc85u6I4Je1teqwgmo1_400	How many times does the man juggle balls ?	8	COUNT259	849
tumblr_nnlm30FCHq1u1w6w2o1_400	How many times does the man squat ?	2	COUNT260	855
tumblr_nrf1becSwh1ssgyoro1_400	How many times does the dog walk ?	5	COUNT261	858
tumblr_npdmflRTD81tyncywo1_250	How many times does the cat swat ?	5	COUNT262	861
tumblr_nok6sxOCss1sonrpao1_400	How many times does the person shake powder bag ?	6	COUNT263	862
tumblr_njoty159cr1tqmfzto1_400	How many times does the person clap hands ?	3	COUNT264	864
tumblr_nedkkvevz81tf1zfvo1_250	How many times does the woman blink her eye ?	2	COUNT265	867
tumblr_np6o0vsloQ1ti8ov7o1_250	How many times does the person clap their hands ?	8	COUNT266	869
tumblr_nahklgvCKC1rc6lqfo1_250	How many times does the little woman push bike ?	10	COUNT267	870
tumblr_nb8f8esKs61ti3awto1_250	How many times does the man shake his leg ?	6	COUNT268	872
tumblr_nfmlh26uKW1sewp6wo1_250	How many times does the woman take steps on stage ?	10	COUNT269	874
tumblr_nb2ikuY8Ff1tyuixco1_1280	How many times does the woman wave veil ?	2	COUNT270	875
tumblr_nfjkd9z5AK1tcvf1oo1_400	How many times does the man rub stomach ?	2	COUNT271	877
tumblr_nqmdm7bDeJ1scqyx6o1_250	How many times does the woman twirl ?	2	COUNT272	878
tumblr_no1gy2ajMY1uu6kufo1_250	How many times does the woman sway ?	2	COUNT273	879
tumblr_nnrkstmyc41uu6kufo1_250	How many times does the woman sway side to side ?	2	COUNT274	883
tumblr_nq6kxjx9Lu1uu6kufo1_250	How many times does the woman sway side to side ?	4	COUNT275	884
tumblr_ncwlt5Kqf41u0zc9co1_400	How many times does the man jump ?	3	COUNT276	886
tumblr_nfmqulMdPj1sewp6wo1_250	How many times does the woman swing arms ?	5	COUNT277	889
tumblr_npz3lwt4be1uu6kufo1_250	How many times does the person dance feet ?	3	COUNT278	891
tumblr_nnrkuaAn681uu6kufo1_250	How many times does the woman dance feet ?	3	COUNT279	892
tumblr_nnrn4xq57y1uu6kufo1_250	How many times does the woman shake her head ?	2	COUNT280	896
tumblr_nodx036lHW1uu6kufo1_250	How many times does the woman shake her hips ?	2	COUNT281	899
tumblr_nipz9b4Dxl1tpg2e7o1_250	How many times does the man swing his arms ?	2	COUNT282	901
tumblr_nqxl0aWuEn1ua16who1_400	How many times does the man shake head ?	9	COUNT283	910
tumblr_np7pxnZop21tfh75qo1_500	How many times does the woman cross feet ?	3	COUNT284	912
tumblr_npz3prPq5l1uu6kufo1_250	How many times does the man step ?	2	COUNT285	918
tumblr_nkvidkwada1qdopllo1_400	How many times does the woman move hands across face ?	2	COUNT286	920
tumblr_nbad3ao9dg1qa41xno1_250	How many times does the man wave arms ?	2	COUNT287	923
tumblr_no5xnkHOku1sjmwg0o1_250	How many times does the woman swing hips side to side ?	4	COUNT288	925
